model,nowcast_date,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time,failure,id
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-15,1.06,0,0,8,943,0.4715,705.1,FALSE,5890
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-17,1.13,1135,0.5675,8,1,5e-04,683.5,FALSE,5921
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-18,1.12,1801,0.9005,10,10,0.005,784.1,FALSE,5946
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-20,1.06,118,0.059,8,33,0.0165,516.1,FALSE,5972
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-20,1.06,231,0.1155,7,1769,0.8845,418.4,FALSE,5977
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-22,1.22,1053,0.5265,8,386,0.193,386.6,FALSE,6009
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-24,1.3,465,0.2325,7,1471,0.7355,736.2,FALSE,6041
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-27,1.41,1997,0.9985,10,1,5e-04,374.2,FALSE,6083
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-27,1.44,72,0.036,9,907,0.4535,1634.2,FALSE,6090
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-28,1.11,116,0.058,9,4,0.002,787.4,FALSE,6106
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-29,1.06,335,0.1675,9,8,0.004,1852.4,FALSE,6122
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-03,1.06,551,0.2755,8,1386,0.693,1513.9,FALSE,6186
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-04,1.08,665,0.3325,9,104,0.052,1568.9,FALSE,6202
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-05,1.37,664,0.332,7,1340,0.67,453.2,FALSE,6218
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-06,1.1,1148,0.574,8,272,0.136,452.3,FALSE,6234
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-08,1.12,81,0.0405,8,94,0.047,909.1,FALSE,6265
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-09,1.08,203,0.1015,8,186,0.093,1073,FALSE,6270
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-09,1.34,625,0.3125,8,658,0.329,998.7,FALSE,6281
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-11,1.27,409,0.2045,8,177,0.0885,456.7,FALSE,6313
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-11,1.06,1546,0.773,9,223,0.1115,678.3,FALSE,6314
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-13,1.39,1107,0.5535,8,454,0.227,424.4,FALSE,6345
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-15,1.18,2000,1,8,25,0.0125,534.2,FALSE,6377
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-15,1.09,505,0.2525,9,667,0.3335,1768.2,FALSE,6378
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-16,1.47,2000,1,7,9,0.0045,183.5,FALSE,6387
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-16,1.31,1992,0.996,9,33,0.0165,308.9,FALSE,6393
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-16,1.1,516,0.258,10,876,0.438,1579,FALSE,6394
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-17,1.33,1999,0.9995,9,1,5e-04,470,FALSE,6403
"Independent by age, Reference: Week and day of week, Report: Day of week",2021-10-14,2.26,1099,0.5495,10,3,0.0015,303.3,,6505
"Independent by age, Reference: Week and day of week, Report: Day of week",2021-11-05,2.23,1131,0.5655,8,30,0.015,320.7,,6660
"Independent by age, Reference: Week and day of week, Report: Day of week",2021-11-11,2.26,1163,0.5815,7,837,0.4185,412.5,,6702
"Independent by age, Reference: Week and day of week, Report: Day of week",2021-11-16,2.27,1085,0.5425,10,181,0.0905,907.2,,6737
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-01-14,1.2,0,0,7,1947,0.9735,1155.3,,7149
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-01-15,1.07,12,0.006,7,1976,0.988,625.8,,7156
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-01-17,1.06,8,0.004,8,67,0.0335,1632.3,,7170
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-01-18,1.06,1,5e-04,9,878,0.439,2598.3,,7177
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-01-19,1.06,0,0,9,906,0.453,1062.2,,7184
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-02-01,1.06,0,0,8,1157,0.5785,750.5,FALSE,7275
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-03-26,1.12,3,0.0015,8,1048,0.524,1776.5,FALSE,7646
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-03-29,1.06,0,0,9,885,0.4425,1228.2,FALSE,7667
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-04,1.08,0,0,8,1655,0.8275,930.3,FALSE,7709
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-10,1.12,0,0,9,5,0.0025,922.1,FALSE,7751
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-11,1.08,0,0,8,1361,0.6805,1925.8,FALSE,7758
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-12,1.06,0,0,9,1143,0.5715,2551.7,FALSE,7765
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-13,1.12,0,0,9,3,0.0015,1938.2,FALSE,7772
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-23,1.06,23,0.0115,8,1112,0.556,1461.4,FALSE,7842
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-04-25,1.08,0,0,8,19,0.0095,1157,FALSE,7856
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-13,1.07,0,0,8,774,0.387,701.7,FALSE,7984
"Independent by age, Reference: Week and day of week, Report: Day of week",2022-05-17,1.07,966,0.483,8,645,0.3225,1250.7,FALSE,8010
