horizon,model,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,scale
-4,"Reference: Fixed, Report: Fixed",0.1,0.0248,0.0447,0.031,-0.204,-0.12,0.173,log
-4,"Reference: Fixed, Report: Day of week",0.084,0.02,0.0316,0.0326,-0.231,-0.0674,0.143,log
-4,"Reference: Age, Report: Day of week",0.101,0.0214,0.0569,0.0228,-0.243,-0.288,0.163,log
-4,"Reference: Age and week, Report: Day of week",0.101,0.0216,0.0564,0.023,-0.242,-0.284,0.163,log
-4,"Reference: Age and week by age, Report: Day of week",0.114,0.0234,0.0718,0.0193,-0.265,-0.398,0.182,log
-4,"Independent by age, Reference: Week, Report: Day of week",0.0691,0.0226,0.0342,0.0118,-0.151,-0.288,0.126,log
-4,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0649,0.0224,0.0324,0.00944,-0.121,-0.304,0.116,log
-3,"Reference: Fixed, Report: Fixed",0.115,0.029,0.0487,0.0377,-0.189,-0.0616,0.198,log
-3,"Reference: Fixed, Report: Day of week",0.0952,0.0227,0.0292,0.0434,-0.22,0.015,0.163,log
-3,"Reference: Age, Report: Day of week",0.114,0.0242,0.059,0.0309,-0.239,-0.22,0.186,log
-3,"Reference: Age and week, Report: Day of week",0.115,0.0243,0.0585,0.0313,-0.236,-0.213,0.187,log
-3,"Reference: Age and week by age, Report: Day of week",0.137,0.0277,0.0823,0.0271,-0.288,-0.366,0.221,log
-3,"Independent by age, Reference: Week, Report: Day of week",0.0734,0.0263,0.0314,0.015,-0.111,-0.217,0.136,log
-3,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0716,0.0262,0.0304,0.0143,-0.0878,-0.22,0.129,log
-2,"Reference: Fixed, Report: Fixed",0.132,0.0357,0.0533,0.0429,-0.149,0.0161,0.227,log
-2,"Reference: Fixed, Report: Day of week",0.114,0.0269,0.0268,0.0606,-0.208,0.0899,0.192,log
-2,"Reference: Age, Report: Day of week",0.133,0.0284,0.0592,0.0448,-0.226,-0.147,0.216,log
-2,"Reference: Age and week, Report: Day of week",0.134,0.0287,0.0597,0.0448,-0.214,-0.137,0.217,log
-2,"Reference: Age and week by age, Report: Day of week",0.159,0.0331,0.0894,0.0379,-0.285,-0.336,0.265,log
-2,"Independent by age, Reference: Week, Report: Day of week",0.0852,0.0317,0.0283,0.0245,-0.0802,-0.114,0.159,log
-2,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0815,0.0318,0.028,0.0211,-0.0624,-0.114,0.152,log
-1,"Reference: Fixed, Report: Fixed",0.125,0.0473,0.0374,0.0395,-0.0603,0.0858,0.232,log
-1,"Reference: Fixed, Report: Day of week",0.137,0.0336,0.0221,0.0813,-0.18,0.186,0.234,log
-1,"Reference: Age, Report: Day of week",0.151,0.0351,0.0529,0.0624,-0.194,-0.0429,0.252,log
-1,"Reference: Age and week, Report: Day of week",0.153,0.0356,0.0546,0.0622,-0.184,-0.035,0.254,log
-1,"Reference: Age and week by age, Report: Day of week",0.168,0.0439,0.0758,0.0482,-0.2,-0.239,0.286,log
-1,"Independent by age, Reference: Week, Report: Day of week",0.103,0.0405,0.0243,0.0378,-0.0484,0.0205,0.19,log
-1,"Independent by age, Reference: Week and day of week, Report: Day of week",0.0941,0.0404,0.0226,0.0306,-0.0182,0.00518,0.173,log
0,"Reference: Fixed, Report: Fixed",0.122,0.0708,0.0174,0.0335,0.075,0.0145,0.224,log
0,"Reference: Fixed, Report: Day of week",0.176,0.05,0.0331,0.0923,-0.153,0.0179,0.311,log
0,"Reference: Age, Report: Day of week",0.18,0.0512,0.0536,0.0746,-0.16,-0.123,0.319,log
0,"Reference: Age and week, Report: Day of week",0.185,0.0518,0.0569,0.0752,-0.161,-0.116,0.326,log
0,"Reference: Age and week by age, Report: Day of week",0.232,0.0646,0.0979,0.0692,-0.21,-0.186,0.394,log
0,"Independent by age, Reference: Week, Report: Day of week",0.147,0.0588,0.0348,0.0526,-0.0668,-0.0945,0.279,log
0,"Independent by age, Reference: Week and day of week, Report: Day of week",0.124,0.0586,0.0286,0.036,0.00375,-0.101,0.232,log
