location,location_name,date,true_value
HR,Croatia,2022-04-09,6630
HR,Croatia,2022-04-16,4584
HR,Croatia,2022-04-23,4040
HR,Croatia,2022-04-30,5284
HR,Croatia,2022-05-07,4877
HR,Croatia,2022-05-14,3769
CY,Cyprus,2022-01-15,22407
CY,Cyprus,2022-01-22,13493
CY,Cyprus,2022-01-29,13865
CY,Cyprus,2022-02-05,20295
CY,Cyprus,2022-02-12,16643
CY,Cyprus,2022-02-19,16440
CY,Cyprus,2022-02-26,14270
CY,Cyprus,2022-03-05,12735
CY,Cyprus,2022-03-12,19180
CY,Cyprus,2022-03-19,22970
CY,Cyprus,2022-03-26,32048
CY,Cyprus,2022-04-02,31405
CY,Cyprus,2022-04-09,19015
CY,Cyprus,2022-04-16,8240
CY,Cyprus,2022-04-23,6115
CY,Cyprus,2022-04-30,9739
CY,Cyprus,2022-05-07,3444
CY,Cyprus,2022-05-14,2422
CZ,Czechia,2022-01-15,62976
CZ,Czechia,2022-01-22,145306
CZ,Czechia,2022-01-29,238654
CZ,Czechia,2022-02-05,239381
CZ,Czechia,2022-02-12,174762
CZ,Czechia,2022-02-19,112570
CZ,Czechia,2022-02-26,70897
CZ,Czechia,2022-03-05,56220
CZ,Czechia,2022-03-12,53834
CZ,Czechia,2022-03-19,54328
CZ,Czechia,2022-03-26,51433
CZ,Czechia,2022-04-02,46089
CZ,Czechia,2022-04-09,31701
CZ,Czechia,2022-04-16,19322
CZ,Czechia,2022-04-23,13900
CZ,Czechia,2022-04-30,9557
CZ,Czechia,2022-05-07,7260
CZ,Czechia,2022-05-14,3486
DK,Denmark,2022-01-15,154800
DK,Denmark,2022-01-22,250778
DK,Denmark,2022-01-29,321474
DK,Denmark,2022-02-05,289241
DK,Denmark,2022-02-12,322546
DK,Denmark,2022-02-19,263285
DK,Denmark,2022-02-26,179445
DK,Denmark,2022-03-05,121430
DK,Denmark,2022-03-12,90711
DK,Denmark,2022-03-19,55976
DK,Denmark,2022-03-26,39281
DK,Denmark,2022-04-02,25421
DK,Denmark,2022-04-09,18807
DK,Denmark,2022-04-16,13583
DK,Denmark,2022-04-23,11999
DK,Denmark,2022-04-30,7641
DK,Denmark,2022-05-07,6084
DK,Denmark,2022-05-14,4944
EE,Estonia,2022-01-15,13463
EE,Estonia,2022-01-22,23055
EE,Estonia,2022-01-29,38872
EE,Estonia,2022-02-05,47271
EE,Estonia,2022-02-12,42094
EE,Estonia,2022-02-19,39642
EE,Estonia,2022-02-26,32319
EE,Estonia,2022-03-05,26112
EE,Estonia,2022-03-12,15726
EE,Estonia,2022-03-19,11758
EE,Estonia,2022-03-26,9516
EE,Estonia,2022-04-02,7186
EE,Estonia,2022-04-09,5431
EE,Estonia,2022-04-16,3499
EE,Estonia,2022-04-23,2893
EE,Estonia,2022-04-30,2117
EE,Estonia,2022-05-07,241
EE,Estonia,2022-05-14,1488
FI,Finland,2022-01-15,57500
FI,Finland,2022-01-22,55099
FI,Finland,2022-01-29,30562
FI,Finland,2022-02-05,39461
FI,Finland,2022-02-12,55081
FI,Finland,2022-02-19,35073
FI,Finland,2022-02-26,32683
FI,Finland,2022-03-05,34044
FI,Finland,2022-03-12,62489
FI,Finland,2022-03-19,52050
FI,Finland,2022-03-26,58401
FI,Finland,2022-04-02,44913
FI,Finland,2022-04-09,31066
FI,Finland,2022-04-16,28891
FI,Finland,2022-04-23,50889
FI,Finland,2022-04-30,22541
FI,Finland,2022-05-07,29754
FI,Finland,2022-05-14,16973
FR,France,2022-01-15,2024575
FR,France,2022-01-22,2437298
FR,France,2022-01-29,2339599
FR,France,2022-02-05,1723710
FR,France,2022-02-12,970983
FR,France,2022-02-19,573367
FR,France,2022-02-26,396058
FR,France,2022-03-05,348648
FR,France,2022-03-12,417809
FR,France,2022-03-19,584222
FR,France,2022-03-26,845606
FR,France,2022-04-02,959274
FR,France,2022-04-09,926831
FR,France,2022-04-16,828123
FR,France,2022-04-23,541722
FR,France,2022-04-30,382041
FR,France,2022-05-07,267511
FR,France,2022-05-14,218056
DE,Germany,2022-01-15,439589
DE,Germany,2022-01-22,682534
DE,Germany,2022-01-29,1022238
DE,Germany,2022-02-05,1271172
DE,Germany,2022-02-12,1330084
DE,Germany,2022-02-19,1225593
DE,Germany,2022-02-26,1129751
DE,Germany,2022-03-05,1099255
DE,Germany,2022-03-12,1320644
DE,Germany,2022-03-19,1553481
DE,Germany,2022-03-26,1596829
DE,Germany,2022-04-02,1408441
DE,Germany,2022-04-09,1093702
DE,Germany,2022-04-16,769466
DE,Germany,2022-04-23,763849
DE,Germany,2022-04-30,629273
DE,Germany,2022-05-07,486165
DE,Germany,2022-05-14,433898
GR,Greece,2022-01-15,161064
GR,Greece,2022-01-22,131115
GR,Greece,2022-01-29,128677
GR,Greece,2022-02-05,126989
GR,Greece,2022-02-12,126371
GR,Greece,2022-02-19,126090
GR,Greece,2022-02-26,107857
GR,Greece,2022-03-05,102072
GR,Greece,2022-03-12,124369
GR,Greece,2022-03-19,152564
GR,Greece,2022-03-26,140700
GR,Greece,2022-04-02,150462
GR,Greece,2022-04-09,97641
GR,Greece,2022-04-16,67501
GR,Greece,2022-04-23,45061
GR,Greece,2022-04-30,46365
GR,Greece,2022-05-07,34662
GR,Greece,2022-05-14,30722
HU,Hungary,2022-01-15,44057
HU,Hungary,2022-01-22,74443
HU,Hungary,2022-01-29,106901
HU,Hungary,2022-02-05,108488
HU,Hungary,2022-02-12,79145
HU,Hungary,2022-02-19,50433
HU,Hungary,2022-02-26,32750
HU,Hungary,2022-03-05,20872
HU,Hungary,2022-03-12,14316
HU,Hungary,2022-03-19,9727
HU,Hungary,2022-03-26,15269
HU,Hungary,2022-04-02,14840
HU,Hungary,2022-04-09,13809
HU,Hungary,2022-04-16,11473
HU,Hungary,2022-04-23,11473
HU,Hungary,2022-04-30,10064
HU,Hungary,2022-05-07,2183
HU,Hungary,2022-05-14,6748
IS,Iceland,2022-01-15,8527
IS,Iceland,2022-01-22,9605
IS,Iceland,2022-01-29,9907
IS,Iceland,2022-02-05,9044
IS,Iceland,2022-02-12,12450
IS,Iceland,2022-02-19,16106
IS,Iceland,2022-02-26,21287
IS,Iceland,2022-03-05,17556
IS,Iceland,2022-03-12,17604
IS,Iceland,2022-03-19,12273
IS,Iceland,2022-03-26,7579
IS,Iceland,2022-04-02,3445
IS,Iceland,2022-04-09,1533
IS,Iceland,2022-04-16,611
IS,Iceland,2022-04-23,1100
IS,Iceland,2022-04-30,505
IS,Iceland,2022-05-07,382
IS,Iceland,2022-05-14,584
IE,Ireland,2022-01-15,136016
IE,Ireland,2022-01-22,48501
IE,Ireland,2022-01-29,28408
IE,Ireland,2022-02-05,36269
IE,Ireland,2022-02-12,36892
IE,Ireland,2022-02-19,22318
IE,Ireland,2022-02-26,27088
IE,Ireland,2022-03-05,22888
IE,Ireland,2022-03-12,26726
IE,Ireland,2022-03-19,23641
IE,Ireland,2022-03-26,57478
IE,Ireland,2022-04-02,42205
IE,Ireland,2022-04-09,22014
IE,Ireland,2022-04-16,11670
IE,Ireland,2022-04-23,10702
IE,Ireland,2022-04-30,7576
IE,Ireland,2022-05-07,5251
IE,Ireland,2022-05-14,13088
IT,Italy,2022-01-15,1268153
IT,Italy,2022-01-22,1231741
IT,Italy,2022-01-29,1040184
IT,Italy,2022-02-05,721418
IT,Italy,2022-02-12,510537
IT,Italy,2022-02-19,374443
IT,Italy,2022-02-26,304907
IT,Italy,2022-03-05,257543
IT,Italy,2022-03-12,332956
IT,Italy,2022-03-19,477000
IT,Italy,2022-03-26,503932
IT,Italy,2022-04-02,486695
IT,Italy,2022-04-09,447322
IT,Italy,2022-04-16,421707
IT,Italy,2022-04-23,419374
IT,Italy,2022-04-30,383991
IT,Italy,2022-05-07,304573
IT,Italy,2022-05-14,262374
LV,Latvia,2022-01-15,14813
LV,Latvia,2022-01-22,29134
LV,Latvia,2022-01-29,51341
LV,Latvia,2022-02-05,60742
LV,Latvia,2022-02-12,67962
LV,Latvia,2022-02-19,68335
LV,Latvia,2022-02-26,64909
LV,Latvia,2022-03-05,53471
LV,Latvia,2022-03-12,42061
LV,Latvia,2022-03-19,29522
LV,Latvia,2022-03-26,20352
LV,Latvia,2022-04-02,12518
LV,Latvia,2022-04-09,6340
LV,Latvia,2022-04-16,4536
LV,Latvia,2022-04-23,4117
LV,Latvia,2022-04-30,5019
LV,Latvia,2022-05-07,2033
LV,Latvia,2022-05-14,1653
LI,Liechtenstein,2022-01-15,556
LI,Liechtenstein,2022-01-22,685
LI,Liechtenstein,2022-01-29,937
LI,Liechtenstein,2022-02-05,836
LI,Liechtenstein,2022-02-12,840
LI,Liechtenstein,2022-02-19,662
LI,Liechtenstein,2022-02-26,639
LI,Liechtenstein,2022-03-05,1081
LI,Liechtenstein,2022-03-12,1192
LI,Liechtenstein,2022-03-19,1218
LI,Liechtenstein,2022-03-26,774
LI,Liechtenstein,2022-04-02,412
LI,Liechtenstein,2022-04-09,273
LI,Liechtenstein,2022-04-16,273
LI,Liechtenstein,2022-04-23,116
LI,Liechtenstein,2022-04-30,94
LI,Liechtenstein,2022-05-07,80
LI,Liechtenstein,2022-05-14,68
LT,Lithuania,2022-01-15,24268
LT,Lithuania,2022-01-22,37581
LT,Lithuania,2022-01-29,62190
LT,Lithuania,2022-02-05,76327
LT,Lithuania,2022-02-12,67724
LT,Lithuania,2022-02-19,48500
LT,Lithuania,2022-02-26,40549
LT,Lithuania,2022-03-05,31702
LT,Lithuania,2022-03-12,30693
LT,Lithuania,2022-03-19,30125
LT,Lithuania,2022-03-26,23578
LT,Lithuania,2022-04-02,16418
LT,Lithuania,2022-04-09,11083
LT,Lithuania,2022-04-16,8195
LT,Lithuania,2022-04-23,5471
LT,Lithuania,2022-04-30,4020
LT,Lithuania,2022-05-07,1365
LT,Lithuania,2022-05-14,1020
LU,Luxembourg,2022-01-15,11137
LU,Luxembourg,2022-01-22,14230
LU,Luxembourg,2022-01-29,15865
LU,Luxembourg,2022-02-05,12523
LU,Luxembourg,2022-02-12,7461
LU,Luxembourg,2022-02-19,3953
LU,Luxembourg,2022-02-26,4531
LU,Luxembourg,2022-03-05,4457
LU,Luxembourg,2022-03-12,5604
LU,Luxembourg,2022-03-19,7238
LU,Luxembourg,2022-03-26,9021
LU,Luxembourg,2022-04-02,8756
LU,Luxembourg,2022-04-09,6687
LU,Luxembourg,2022-04-16,5645
LU,Luxembourg,2022-04-23,4655
LU,Luxembourg,2022-04-30,3890
LU,Luxembourg,2022-05-07,3304
LU,Luxembourg,2022-05-14,3022
MT,Malta,2022-01-15,3586
MT,Malta,2022-01-22,2187
MT,Malta,2022-01-29,1761
MT,Malta,2022-02-05,1485
MT,Malta,2022-02-12,1059
MT,Malta,2022-02-19,687
MT,Malta,2022-02-26,591
MT,Malta,2022-03-05,621
MT,Malta,2022-03-12,887
MT,Malta,2022-03-19,1628
MT,Malta,2022-03-26,2434
MT,Malta,2022-04-02,4240
MT,Malta,2022-04-09,4631
MT,Malta,2022-04-16,2938
MT,Malta,2022-04-23,1841
MT,Malta,2022-04-30,1342
MT,Malta,2022-05-07,988
MT,Malta,2022-05-14,717
NL,Netherlands,2022-01-15,225853
NL,Netherlands,2022-01-22,320670
NL,Netherlands,2022-01-29,430588
NL,Netherlands,2022-02-05,571784
NL,Netherlands,2022-02-12,842431
NL,Netherlands,2022-02-19,348083
NL,Netherlands,2022-02-26,242246
NL,Netherlands,2022-03-05,399723
NL,Netherlands,2022-03-12,475453
NL,Netherlands,2022-03-19,360717
NL,Netherlands,2022-03-26,252285
NL,Netherlands,2022-04-02,169086
NL,Netherlands,2022-04-09,73909
NL,Netherlands,2022-04-16,43706
NL,Netherlands,2022-04-23,20007
NL,Netherlands,2022-04-30,11526
NL,Netherlands,2022-05-07,10561
NL,Netherlands,2022-05-14,9413
NO,Norway,2022-01-15,64605
NO,Norway,2022-01-22,105161
NO,Norway,2022-01-29,141071
NO,Norway,2022-02-05,132367
NO,Norway,2022-02-12,140991
NO,Norway,2022-02-19,104384
NO,Norway,2022-02-26,97103
NO,Norway,2022-03-05,79140
NO,Norway,2022-03-12,44965
NO,Norway,2022-03-19,28267
NO,Norway,2022-03-26,18673
NO,Norway,2022-04-02,11346
NO,Norway,2022-04-09,7352
NO,Norway,2022-04-16,3898
NO,Norway,2022-04-23,4002
NO,Norway,2022-04-30,2504
NO,Norway,2022-05-07,1943
NO,Norway,2022-05-14,1761
PL,Poland,2022-01-15,96285
PL,Poland,2022-01-22,185720
PL,Poland,2022-01-29,320295
PL,Poland,2022-02-05,324690
PL,Poland,2022-02-12,250471
PL,Poland,2022-02-19,160751
PL,Poland,2022-02-26,111294
PL,Poland,2022-03-05,82445
PL,Poland,2022-03-12,77068
PL,Poland,2022-03-19,74337
PL,Poland,2022-03-26,54289
PL,Poland,2022-04-02,29336
PL,Poland,2022-04-09,8702
PL,Poland,2022-04-16,7167
PL,Poland,2022-04-23,5913
PL,Poland,2022-04-30,5661
PL,Poland,2022-05-07,3703
PL,Poland,2022-05-14,3080
PT,Portugal,2022-01-15,239276
PT,Portugal,2022-01-22,323553
PT,Portugal,2022-01-29,390295
PT,Portugal,2022-02-05,317989
PT,Portugal,2022-02-12,184588
PT,Portugal,2022-02-19,108901
PT,Portugal,2022-02-26,73273
PT,Portugal,2022-03-05,70832
PT,Portugal,2022-03-12,58129
PT,Portugal,2022-03-19,78464
PT,Portugal,2022-03-26,75276
PT,Portugal,2022-04-02,70111
PT,Portugal,2022-04-09,63070
PT,Portugal,2022-04-16,52301
PT,Portugal,2022-04-23,72259
PT,Portugal,2022-04-30,62056
PT,Portugal,2022-05-07,82132
PT,Portugal,2022-05-14,130742
RO,Romania,2022-01-15,56008
RO,Romania,2022-01-22,107208
RO,Romania,2022-01-29,173685
RO,Romania,2022-02-05,208987
RO,Romania,2022-02-12,164635
RO,Romania,2022-02-19,105585
RO,Romania,2022-02-26,68547
RO,Romania,2022-03-05,40689
RO,Romania,2022-03-12,25199
RO,Romania,2022-03-19,23430
RO,Romania,2022-03-26,25051
RO,Romania,2022-04-02,19816
RO,Romania,2022-04-09,13272
RO,Romania,2022-04-16,9385
RO,Romania,2022-04-23,6502
RO,Romania,2022-04-30,6052
RO,Romania,2022-05-07,4382
RO,Romania,2022-05-14,4532
SK,Slovakia,2022-01-15,19469
SK,Slovakia,2022-01-22,40467
SK,Slovakia,2022-01-29,92286
SK,Slovakia,2022-02-05,140029
SK,Slovakia,2022-02-12,154998
SK,Slovakia,2022-02-19,143925
SK,Slovakia,2022-02-26,116561
SK,Slovakia,2022-03-05,88179
SK,Slovakia,2022-03-12,79011
SK,Slovakia,2022-03-19,74447
SK,Slovakia,2022-03-26,64514
SK,Slovakia,2022-04-02,48065
SK,Slovakia,2022-04-09,31607
SK,Slovakia,2022-04-16,17725
SK,Slovakia,2022-04-23,13480
SK,Slovakia,2022-04-30,8768
SK,Slovakia,2022-05-07,7490
SK,Slovakia,2022-05-14,2568
SI,Slovenia,2022-01-15,39874
SI,Slovenia,2022-01-22,62147
SI,Slovenia,2022-01-29,98878
SI,Slovenia,2022-02-05,98621
SI,Slovenia,2022-02-12,56538
SI,Slovenia,2022-02-19,32252
SI,Slovenia,2022-02-26,15294
SI,Slovenia,2022-03-05,11703
SI,Slovenia,2022-03-12,13968
SI,Slovenia,2022-03-19,18661
SI,Slovenia,2022-03-26,20100
SI,Slovenia,2022-04-02,17426
SI,Slovenia,2022-04-09,13820
SI,Slovenia,2022-04-16,10113
SI,Slovenia,2022-04-23,7138
SI,Slovenia,2022-04-30,6088
SI,Slovenia,2022-05-07,5398
SI,Slovenia,2022-05-14,4012
ES,Spain,2022-01-15,928130
ES,Spain,2022-01-22,882422
ES,Spain,2022-01-29,803672
ES,Spain,2022-02-05,420586
ES,Spain,2022-02-12,404484
ES,Spain,2022-02-19,205022
ES,Spain,2022-02-26,168302
ES,Spain,2022-03-05,122904
ES,Spain,2022-03-12,123546
ES,Spain,2022-03-19,100663
ES,Spain,2022-03-26,127039
ES,Spain,2022-04-02,99898
ES,Spain,2022-04-09,75913
ES,Spain,2022-04-16,34727
ES,Spain,2022-04-23,123822
ES,Spain,2022-04-30,110116
ES,Spain,2022-05-07,112907
ES,Spain,2022-05-14,118063
SE,Sweden,2022-01-15,143713
SE,Sweden,2022-01-22,223642
SE,Sweden,2022-01-29,286451
SE,Sweden,2022-02-05,217329
SE,Sweden,2022-02-12,109545
SE,Sweden,2022-02-19,25526
SE,Sweden,2022-02-26,18286
SE,Sweden,2022-03-05,14824
SE,Sweden,2022-03-12,10611
SE,Sweden,2022-03-19,9110
SE,Sweden,2022-03-26,6049
SE,Sweden,2022-04-02,6116
SE,Sweden,2022-04-09,4128
SE,Sweden,2022-04-16,4016
SE,Sweden,2022-04-23,2392
SE,Sweden,2022-04-30,2529
SE,Sweden,2022-05-07,2173
SE,Sweden,2022-05-14,1804
CH,Switzerland,2022-01-15,183229
CH,Switzerland,2022-01-22,212878
CH,Switzerland,2022-01-29,251758
CH,Switzerland,2022-02-05,233536
CH,Switzerland,2022-02-12,173121
CH,Switzerland,2022-02-19,126460
CH,Switzerland,2022-02-26,101024
CH,Switzerland,2022-03-05,125350
CH,Switzerland,2022-03-12,182190
CH,Switzerland,2022-03-19,196195
CH,Switzerland,2022-03-26,150596
CH,Switzerland,2022-04-02,87760
CH,Switzerland,2022-04-09,21380
CH,Switzerland,2022-04-16,39927
CH,Switzerland,2022-04-23,28239
CH,Switzerland,2022-04-30,22743
CH,Switzerland,2022-05-07,16628
CH,Switzerland,2022-05-14,12929
GB,United Kingdom,2022-01-15,813326
GB,United Kingdom,2022-01-22,637368
GB,United Kingdom,2022-01-29,621635
GB,United Kingdom,2022-02-05,1343876
GB,United Kingdom,2022-02-12,516016
GB,United Kingdom,2022-02-19,319408
GB,United Kingdom,2022-02-26,219342
GB,United Kingdom,2022-03-05,314416
GB,United Kingdom,2022-03-12,411304
GB,United Kingdom,2022-03-19,563277
GB,United Kingdom,2022-03-26,597361
GB,United Kingdom,2022-04-02,525751
GB,United Kingdom,2022-04-09,332956
GB,United Kingdom,2022-04-16,197808
GB,United Kingdom,2022-04-23,185568
GB,United Kingdom,2022-04-30,105134
GB,United Kingdom,2022-05-07,75694
GB,United Kingdom,2022-05-14,66173
