model,location,forecast_date,anomaly,n_anomaly
UVA-Ensemble,CY,2022-01-17,FALSE,0
UVA-Ensemble,CZ,2022-01-17,FALSE,0
UVA-Ensemble,DE,2022-01-17,TRUE,2
UVA-Ensemble,DK,2022-01-17,FALSE,0
UVA-Ensemble,EE,2022-01-17,FALSE,0
UVA-Ensemble,ES,2022-01-17,TRUE,2
UVA-Ensemble,FI,2022-01-17,TRUE,1
UVA-Ensemble,FR,2022-01-17,FALSE,0
UVA-Ensemble,GB,2022-01-17,FALSE,0
UVA-Ensemble,GR,2022-01-17,FALSE,0
UVA-Ensemble,HR,2022-01-17,FALSE,0
UVA-Ensemble,HU,2022-01-17,FALSE,0
UVA-Ensemble,IE,2022-01-17,FALSE,0
UVA-Ensemble,IS,2022-01-17,FALSE,0
UVA-Ensemble,IT,2022-01-17,FALSE,0
UVA-Ensemble,LI,2022-01-17,FALSE,0
UVA-Ensemble,LT,2022-01-17,TRUE,4
UVA-Ensemble,LU,2022-01-17,FALSE,0
UVA-Ensemble,LV,2022-01-17,FALSE,0
UVA-Ensemble,MT,2022-01-17,FALSE,0
UVA-Ensemble,NL,2022-01-17,FALSE,0
UVA-Ensemble,NO,2022-01-17,FALSE,0
UVA-Ensemble,PL,2022-01-17,TRUE,1
UVA-Ensemble,PT,2022-01-17,TRUE,2
UVA-Ensemble,RO,2022-01-17,FALSE,0
UVA-Ensemble,SE,2022-01-17,FALSE,0
UVA-Ensemble,SI,2022-01-17,FALSE,0
UVA-Ensemble,SK,2022-01-17,FALSE,0
epiMOX-SUIHTER,IT,2022-01-17,FALSE,0
epiforecasts-EpiNow2,AT,2022-01-17,TRUE,2
epiforecasts-EpiNow2,BE,2022-01-17,FALSE,0
epiforecasts-EpiNow2,BG,2022-01-17,FALSE,0
epiforecasts-EpiNow2,CH,2022-01-17,FALSE,0
epiforecasts-EpiNow2,CY,2022-01-17,FALSE,0
epiforecasts-EpiNow2,CZ,2022-01-17,FALSE,0
epiforecasts-EpiNow2,DE,2022-01-17,TRUE,2
epiforecasts-EpiNow2,DK,2022-01-17,FALSE,0
epiforecasts-EpiNow2,EE,2022-01-17,FALSE,0
epiforecasts-EpiNow2,ES,2022-01-17,TRUE,2
epiforecasts-EpiNow2,FI,2022-01-17,TRUE,1
epiforecasts-EpiNow2,FR,2022-01-17,FALSE,0
epiforecasts-EpiNow2,GB,2022-01-17,FALSE,0
